Temperature (K),Pressure (MPa),T_critical_distance,P_critical_distance,Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
298.4,2.78,-5.73,-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.799573724769168
323.15,15.0,19.02,7.62,3.0,0.0,0.0,0.0,0.0,3.0,0.734
333.15,10.0,29.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,1.057
424.62,8.68,120.49,1.3,0.91,0.143,0.0,0.0,0.0,1.053,0.487161150924804
373.0,15.0,68.87,7.62,0.0,0.0,0.0,1.667,0.0,3.334,0.544
423.0,12.5,118.87,5.12,2.9856,0.0,0.0,0.6661,0.0,4.3178,0.397
393.15,20.0,89.02,12.62,1.0,0.0,0.0,0.0,0.0,1.0,0.926
303.15,7.0,-0.98,-0.38,1.0,0.0,0.0,0.0,0.0,1.0,1.038
323.0,15.0,18.87,7.62,2.9858,0.0222,0.2535,0.3937,0.0001,4.3022,0.604
393.15,30.0,89.02,22.62,5.0,0.0,0.0,0.0,0.0,5.0,0.633
283.15,20.0,-20.98,12.62,3.0,0.0,0.0,0.0,0.0,3.0,0.99
513.15,20.0,209.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.547
343.15,5.0,39.02,-2.38,2.0,0.0,0.0,0.0,0.0,2.0,0.407
373.0,17.5,68.87,10.12,2.9856,0.0,0.0,0.6661,0.0,4.3178,0.521
333.15,15.0,29.02,7.62,1.0,0.0,0.0,0.0,0.0,1.0,0.944
298.15,40.0,-5.98,32.62,1.0,0.0,0.0,0.0,0.0,1.0,1.394
303.15,20.0,-0.98,12.62,1.0,0.0,0.0,0.0,0.0,1.0,1.188
373.15,0.99,69.02,-6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.097310053952553
298.15,20.0,-5.98,12.62,3.0,0.0,0.0,0.0,0.0,3.0,0.852
423.0,15.0,118.87,7.62,1.334,0.0,0.0,0.0,0.667,0.0,0.71
298.15,1.97,-5.98,-5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.552197228054993
293.15,30.0,-10.98,22.62,3.0,0.0,0.0,0.0,0.0,3.0,0.982
353.15,10.0,49.02,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.899
313.15,12.5,9.02,5.12,0.0,0.0,0.0,0.0,0.0,0.0,1.295
333.15,7.0,29.02,-0.38,2.0,0.0,0.0,0.0,0.0,2.0,0.57
413.15,10.0,109.02,2.62,3.0,0.0,0.0,0.0,0.0,3.0,0.417
309.83,4.24,5.7,-3.14,0.0,0.0,1.0,0.0,0.0,2.0,0.606035617804123
323.15,15.0,19.02,7.62,2.0,0.0,0.0,0.0,0.0,2.0,0.859
333.15,60.0,29.02,52.62,0.0,0.0,0.0,0.0,0.0,0.0,1.727
303.15,4.0,-0.98,-3.38,1.0,0.0,0.0,0.0,0.0,1.0,0.743
353.15,5.0,49.02,-2.38,3.0,0.0,0.0,0.0,0.0,3.0,0.325
333.15,17.0,29.02,9.62,3.0,0.0,0.0,0.0,0.0,3.0,0.698
333.15,7.0,29.02,-0.38,3.0,0.0,0.0,0.0,0.0,3.0,0.493
313.11,3.77,8.98,-3.61,2.026,0.0,0.0,0.0,1.013,0.0,0.4115
393.15,30.0,89.02,22.62,3.0,0.0,0.0,0.0,0.0,3.0,0.786
423.0,15.0,118.87,7.62,0.0,0.0,0.0,1.333,0.0,2.666,0.55
333.15,6.01,29.02,-1.37,1.2,0.0,0.0,0.0,0.0,1.2,0.62
343.15,15.0,39.02,7.62,1.0,0.0,0.0,0.0,0.0,1.0,0.894
423.15,10.18,119.02,2.8,0.0,0.0,0.0,1.0,0.0,2.0,0.495
393.15,3.04,89.02,-4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.271649009426836
341.24,1.086,37.11,-6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.145814132890067
413.09,1.661,108.96,-5.72,5.999,0.0,0.0,0.0,0.0,5.999,0.0511
353.15,6.0,49.02,-1.38,3.0,0.0,0.0,0.0,0.0,3.0,0.375
333.15,39.97,29.02,32.59,1.2,0.0,0.0,0.0,0.0,1.2,1.13
313.15,3.0,9.02,-4.38,2.0,0.0,0.0,0.0,0.0,2.0,0.422
423.15,20.14,119.02,12.76,2.0,0.0,0.0,0.0,1.0,0.0,0.724
343.15,11.0,39.02,3.62,3.0,0.0,0.0,0.0,0.0,3.0,0.581
333.15,4.5,29.02,-2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.628
373.15,5.16,69.02,-2.22,3.996,0.0,0.0,0.0,1.998,0.0,0.187
393.15,1.023,89.02,-6.35,2.022,0.0,0.0,0.0,1.011,0.0,0.0502
313.31,6.799,9.18,-0.58,5.999,0.0,0.0,0.0,0.0,5.999,0.4177
393.15,40.0,89.02,32.62,1.0,0.0,0.0,0.0,0.0,1.0,1.228
533.15,90.0,229.02,82.62,0.0,0.0,0.0,0.0,0.0,0.0,8.074
323.15,6.5,19.02,-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.909
323.1,10.04,18.97,2.66,3.0,0.0,0.0,0.0,0.0,3.0,0.640093222440248
374.24,2.64,70.11,-4.74,0.0,0.0,1.0,0.0,0.0,2.0,0.161442466122341
323.15,9.0,19.02,1.62,2.0,0.0,0.0,0.0,0.0,2.0,0.743
473.15,30.0,169.02,22.62,3.0,0.0,0.0,0.0,0.0,3.0,0.945
413.15,40.0,109.02,32.62,3.0,0.0,0.0,0.0,0.0,3.0,0.905
323.15,5.09,19.02,-2.29,0.0,0.0,0.0,3.0,0.0,6.0,0.29
373.1,10.08,68.97,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.765323111152039
453.15,40.0,149.02,32.62,3.0,0.0,0.0,0.0,0.0,3.0,1.038
353.15,15.0,49.02,7.62,2.0,0.0,0.0,0.0,0.0,2.0,0.715
373.15,15.2,69.02,7.82,0.0,0.0,1.0,0.0,0.0,2.0,0.685
333.15,29.97,29.02,22.59,1.2,0.0,0.0,0.0,0.0,1.2,1.04
373.1,5.07,68.97,-2.31,1.0,0.0,0.0,0.0,0.0,1.0,0.335060976228121
345.08,34.43,40.95,27.05,0.0,0.0,0.0,3.0,0.0,6.0,0.436368990946824
333.0,6.844,28.87,-0.53,5.999,0.0,0.0,0.0,0.0,5.999,0.3388
373.0,15.0,68.87,7.62,3.334,0.0,0.0,0.0,1.667,0.0,0.452
323.15,4.12,19.02,-3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.651454721486025
333.15,20.0,29.02,12.62,0.0,0.0,0.0,0.0,0.0,0.0,1.269
323.15,9.0,19.02,1.62,1.0,0.0,0.0,0.0,0.0,1.0,0.885
343.15,3.0,39.02,-4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.4
303.15,11.5,-0.98,4.12,0.0,0.0,0.0,0.0,0.0,0.0,1.376
313.15,40.0,9.02,32.62,0.0,0.0,0.0,0.0,0.0,0.0,1.547
323.15,7.0,19.02,-0.38,3.0,0.0,0.0,0.0,0.0,3.0,0.556
324.11,1.07,19.98,-6.31,0.91,0.143,0.0,0.0,0.0,1.053,0.167026198911133
373.15,20.29,69.02,12.91,0.0,0.0,3.0,0.0,0.0,6.0,0.42
343.15,9.0,39.02,1.62,3.0,0.0,0.0,0.0,0.0,3.0,0.524
373.15,30.0,69.02,22.62,3.0,0.0,0.0,0.0,0.0,3.0,0.764
313.15,9.0,9.02,1.62,0.0,0.0,0.0,0.0,0.0,0.0,1.229
323.0,15.0,18.87,7.62,2.666,0.0,0.0,0.0,1.333,0.0,0.584
433.15,20.0,129.02,12.62,1.0,0.0,0.0,0.0,0.0,1.0,0.952
393.06,0.169,88.93,-7.21,4.003,0.0,0.0,0.0,0.0,4.003,0.0
343.88,13.69,39.75,6.31,0.91,0.143,0.0,0.0,0.0,1.053,0.891111867834286
513.15,30.0,209.02,22.62,0.0,0.0,0.0,0.0,0.0,0.0,2.344
353.15,26.0,49.02,18.62,1.0,0.0,0.0,0.0,0.0,1.0,1.003
393.15,40.0,89.02,32.62,3.0,0.0,0.0,0.0,0.0,3.0,0.867
333.15,5.0,29.02,-2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.682
353.15,3.641,49.02,-3.74,4.02,0.0,0.0,0.0,2.01,0.0,0.1515
413.15,10.0,109.02,2.62,5.0,0.0,0.0,0.0,0.0,5.0,0.345
333.2,4.05,29.07,-3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.538046220308161
323.15,15.16,19.02,7.78,0.0,0.0,5.0,0.0,0.0,10.0,0.282
313.15,40.0,9.02,32.62,1.0,0.0,0.0,0.0,0.0,1.0,1.27
323.1,10.53,18.97,3.15,0.0,0.0,0.0,0.0,0.0,0.0,1.13282520534269
323.1,20.24,18.97,12.86,3.0,0.0,0.0,0.0,0.0,3.0,0.771028652891159
353.15,40.0,49.02,32.62,5.0,0.0,0.0,0.0,0.0,5.0,0.671
323.1,20.24,18.97,12.86,1.0,0.0,0.0,0.0,0.0,1.0,1.0232230111197
424.43,4.64,120.3,-2.74,0.0,0.0,0.0,5.0,0.0,10.0,0.0778206717538418
344.68,13.09,40.55,5.71,0.0,0.0,5.0,0.0,0.0,10.0,0.206143713460898
323.0,12.5,18.87,5.12,1.0601,0.0,0.0,0.2172,0.0,1.4945,0.898
353.15,3.0,49.02,-4.38,1.0,0.0,0.0,0.0,0.0,1.0,0.306
