Temperature (K),Pressure (MPa),T_critical_distance,P_critical_distance,Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
373.15,1.62,69.02,-5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.158
373.15,3.11,69.02,-4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.302
423.15,1.6,119.02,-5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.097
423.15,3.11,119.02,-4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.219
303.15,1.6,-0.98,-5.78,2.0,0.0,0.0,0.0,1.0,0.0,0.232
303.15,3.11,-0.98,-4.27,2.0,0.0,0.0,0.0,1.0,0.0,0.413
303.15,5.13,-0.98,-2.25,2.0,0.0,0.0,0.0,1.0,0.0,0.598
303.15,10.12,-0.98,2.74,2.0,0.0,0.0,0.0,1.0,0.0,0.756
303.15,15.13,-0.98,7.75,2.0,0.0,0.0,0.0,1.0,0.0,0.79
303.15,20.04,-0.98,12.66,2.0,0.0,0.0,0.0,1.0,0.0,0.822
303.15,1.61,-0.98,-5.77,3.996,0.0,0.0,0.0,1.998,0.0,0.123
303.15,3.11,-0.98,-4.27,3.996,0.0,0.0,0.0,1.998,0.0,0.225
303.15,5.13,-0.98,-2.25,3.996,0.0,0.0,0.0,1.998,0.0,0.338
303.15,10.14,-0.98,2.76,3.996,0.0,0.0,0.0,1.998,0.0,0.409
303.15,15.15,-0.98,7.77,3.996,0.0,0.0,0.0,1.998,0.0,0.454
303.15,20.13,-0.98,12.75,3.996,0.0,0.0,0.0,1.998,0.0,0.469
323.15,1.6,19.02,-5.78,2.0,0.0,0.0,0.0,1.0,0.0,0.163
323.15,3.11,19.02,-4.27,2.0,0.0,0.0,0.0,1.0,0.0,0.298
323.15,5.1,19.02,-2.28,2.0,0.0,0.0,0.0,1.0,0.0,0.455
323.15,10.13,19.02,2.75,2.0,0.0,0.0,0.0,1.0,0.0,0.656
323.15,15.12,19.02,7.74,2.0,0.0,0.0,0.0,1.0,0.0,0.717
323.15,20.11,19.02,12.73,2.0,0.0,0.0,0.0,1.0,0.0,0.746
323.15,1.62,19.02,-5.76,3.996,0.0,0.0,0.0,1.998,0.0,0.098
323.15,3.14,19.02,-4.24,3.996,0.0,0.0,0.0,1.998,0.0,0.176
323.15,5.11,19.02,-2.27,3.996,0.0,0.0,0.0,1.998,0.0,0.26
323.15,10.13,19.02,2.75,3.996,0.0,0.0,0.0,1.998,0.0,0.379
323.15,15.12,19.02,7.74,3.996,0.0,0.0,0.0,1.998,0.0,0.433
323.15,20.12,19.02,12.74,3.996,0.0,0.0,0.0,1.998,0.0,0.448
373.15,1.61,69.02,-5.77,2.0,0.0,0.0,0.0,1.0,0.0,0.098
373.15,3.14,69.02,-4.24,2.0,0.0,0.0,0.0,1.0,0.0,0.185
373.15,5.11,69.02,-2.27,2.0,0.0,0.0,0.0,1.0,0.0,0.287
373.15,10.1,69.02,2.72,2.0,0.0,0.0,0.0,1.0,0.0,0.488
373.15,15.1,69.02,7.72,2.0,0.0,0.0,0.0,1.0,0.0,0.625
373.15,20.13,69.02,12.75,2.0,0.0,0.0,0.0,1.0,0.0,0.695
373.15,1.62,69.02,-5.76,3.996,0.0,0.0,0.0,1.998,0.0,0.064
373.15,3.11,69.02,-4.27,3.996,0.0,0.0,0.0,1.998,0.0,0.118
373.15,5.16,69.02,-2.22,3.996,0.0,0.0,0.0,1.998,0.0,0.187
373.15,10.13,69.02,2.75,3.996,0.0,0.0,0.0,1.998,0.0,0.304
373.15,15.15,69.02,7.77,3.996,0.0,0.0,0.0,1.998,0.0,0.399
373.15,20.14,69.02,12.76,3.996,0.0,0.0,0.0,1.998,0.0,0.454
423.15,1.62,119.02,-5.76,2.0,0.0,0.0,0.0,1.0,0.0,0.06
423.15,3.14,119.02,-4.24,2.0,0.0,0.0,0.0,1.0,0.0,0.142
423.15,5.15,119.02,-2.23,2.0,0.0,0.0,0.0,1.0,0.0,0.238
423.15,10.15,119.02,2.77,2.0,0.0,0.0,0.0,1.0,0.0,0.46
423.15,15.15,119.02,7.77,2.0,0.0,0.0,0.0,1.0,0.0,0.626
423.15,20.14,119.02,12.76,2.0,0.0,0.0,0.0,1.0,0.0,0.724
423.15,1.62,119.02,-5.76,3.996,0.0,0.0,0.0,1.998,0.0,0.047
423.15,3.12,119.02,-4.26,3.996,0.0,0.0,0.0,1.998,0.0,0.098
423.15,5.15,119.02,-2.23,3.996,0.0,0.0,0.0,1.998,0.0,0.164
423.15,10.16,119.02,2.78,3.996,0.0,0.0,0.0,1.998,0.0,0.298
423.15,15.15,119.02,7.77,3.996,0.0,0.0,0.0,1.998,0.0,0.398
423.15,20.17,119.02,12.79,3.996,0.0,0.0,0.0,1.998,0.0,0.478
323.15,1.6,19.02,-5.78,0.0,0.0,1.0,0.0,0.0,2.0,0.188
323.15,3.03,19.02,-4.35,0.0,0.0,1.0,0.0,0.0,2.0,0.338
323.15,5.11,19.02,-2.27,0.0,0.0,1.0,0.0,0.0,2.0,0.527
