Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
471.5,16.72774425,2.9311,0.0,0.0,0.0,0.0,2.9311,0.58543
471.5,18.2324205,2.9311,0.0,0.0,0.0,0.0,2.9311,0.62647
471.5,19.7522955,2.9311,0.0,0.0,0.0,0.0,2.9311,0.66571
471.5,21.29142225,2.9311,0.0,0.0,0.0,0.0,2.9311,0.70341
471.5,22.85790675,2.9311,0.0,0.0,0.0,0.0,2.9311,0.73977
471.5,24.456815250000002,2.9311,0.0,0.0,0.0,0.0,2.9311,0.77501
471.5,26.094227249999996,2.9311,0.0,0.0,0.0,0.0,2.9311,0.80929
471.5,27.778248749999996,2.9311,0.0,0.0,0.0,0.0,2.9311,0.84279
471.5,29.513945999999997,2.9311,0.0,0.0,0.0,0.0,2.9311,0.87566
471.5,31.309425,2.9311,0.0,0.0,0.0,0.0,2.9311,0.90803
471.5,33.172791749999995,2.9311,0.0,0.0,0.0,0.0,2.9311,0.94003
471.5,35.111138999999994,2.9311,0.0,0.0,0.0,0.0,2.9311,0.97178
471.5,37.133586,2.9311,0.0,0.0,0.0,0.0,2.9311,1.0034
471.5,39.2472255,2.9311,0.0,0.0,0.0,0.0,2.9311,1.0349
471.5,41.46117675,2.9311,0.0,0.0,0.0,0.0,2.9311,1.0666
471.5,43.7865855,2.9311,0.0,0.0,0.0,0.0,2.9311,1.0983
471.5,46.2305445,2.9311,0.0,0.0,0.0,0.0,2.9311,1.1303
471.5,48.80521275,2.9311,0.0,0.0,0.0,0.0,2.9311,1.1626
471.5,51.5197095,2.9311,0.0,0.0,0.0,0.0,2.9311,1.1953
471.5,54.387207,2.9311,0.0,0.0,0.0,0.0,2.9311,1.2285
471.5,57.4168245,2.9311,0.0,0.0,0.0,0.0,2.9311,1.2623
471.5,60.623760749999995,2.9311,0.0,0.0,0.0,0.0,2.9311,1.2967
471.5,64.01916150000001,2.9311,0.0,0.0,0.0,0.0,2.9311,1.3318
471.5,67.61619900000001,2.9311,0.0,0.0,0.0,0.0,2.9311,1.3678
471.5,71.430072,2.9311,0.0,0.0,0.0,0.0,2.9311,1.4047
471.5,75.47395275,2.9311,0.0,0.0,0.0,0.0,2.9311,1.4426
471.5,79.7650665,2.9311,0.0,0.0,0.0,0.0,2.9311,1.4817
471.5,84.31962525,2.9311,0.0,0.0,0.0,0.0,2.9311,1.5219
471.5,89.15282775,2.9311,0.0,0.0,0.0,0.0,2.9311,1.5636
471.5,94.28392575,2.9311,0.0,0.0,0.0,0.0,2.9311,1.6067
471.5,99.73115775,2.9311,0.0,0.0,0.0,0.0,2.9311,1.6515
471.5,105.5097225,2.9311,0.0,0.0,0.0,0.0,2.9311,1.698
471.5,111.6500175,2.9311,0.0,0.0,0.0,0.0,2.9311,1.7464
471.5,118.165215,2.9311,0.0,0.0,0.0,0.0,2.9311,1.797
