Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
448.21,3.816000825,1.4385,0.0,0.0,0.0,0.0,1.4385,0.17628
448.21,5.250154875,1.4385,0.0,0.0,0.0,0.0,1.4385,0.25481
448.21,6.6558366,1.4385,0.0,0.0,0.0,0.0,1.4385,0.32773
448.21,8.0362884,1.4385,0.0,0.0,0.0,0.0,1.4385,0.39558
448.21,9.394854,1.4385,0.0,0.0,0.0,0.0,1.4385,0.45887
448.21,10.73538375,1.4385,0.0,0.0,0.0,0.0,1.4385,0.51809
448.21,12.061728,1.4385,0.0,0.0,0.0,0.0,1.4385,0.57367
448.21,13.378953,1.4385,0.0,0.0,0.0,0.0,1.4385,0.62604
448.21,14.6900985,1.4385,0.0,0.0,0.0,0.0,1.4385,0.67556
448.21,16.001244,1.4385,0.0,0.0,0.0,0.0,1.4385,0.72258
448.21,17.3164425,1.4385,0.0,0.0,0.0,0.0,1.4385,0.76744
448.21,18.6417735,1.4385,0.0,0.0,0.0,0.0,1.4385,0.81042
448.21,19.981289999999998,1.4385,0.0,0.0,0.0,0.0,1.4385,0.85178
448.21,21.3410715,1.4385,0.0,0.0,0.0,0.0,1.4385,0.89176
448.21,22.7271975,1.4385,0.0,0.0,0.0,0.0,1.4385,0.9306
448.21,24.145747500000002,1.4385,0.0,0.0,0.0,0.0,1.4385,0.96849
448.21,25.60178775,1.4385,0.0,0.0,0.0,0.0,1.4385,1.0056
448.21,27.101397750000004,1.4385,0.0,0.0,0.0,0.0,1.4385,1.0421
448.21,28.6526835,1.4385,0.0,0.0,0.0,0.0,1.4385,1.0782
448.21,30.261724500000003,1.4385,0.0,0.0,0.0,0.0,1.4385,1.114
448.21,31.934600250000003,1.4385,0.0,0.0,0.0,0.0,1.4385,1.1496
448.21,33.68144325,1.4385,0.0,0.0,0.0,0.0,1.4385,1.1852
448.21,35.50731975,1.4385,0.0,0.0,0.0,0.0,1.4385,1.2208
448.21,37.42236225,1.4385,0.0,0.0,0.0,0.0,1.4385,1.2566
448.21,39.4336635,1.4385,0.0,0.0,0.0,0.0,1.4385,1.2927
448.21,41.551356,1.4385,0.0,0.0,0.0,0.0,1.4385,1.3292
448.21,43.784559,1.4385,0.0,0.0,0.0,0.0,1.4385,1.3662
448.21,46.142391749999994,1.4385,0.0,0.0,0.0,0.0,1.4385,1.4037
448.21,48.637013249999995,1.4385,0.0,0.0,0.0,0.0,1.4385,1.4419
448.21,51.278555999999995,1.4385,0.0,0.0,0.0,0.0,1.4385,1.4808
448.21,54.078165750000004,1.4385,0.0,0.0,0.0,0.0,1.4385,1.5205
448.21,57.0480015,1.4385,0.0,0.0,0.0,0.0,1.4385,1.5612
448.21,60.201235499999996,1.4385,0.0,0.0,0.0,0.0,1.4385,1.6028
448.21,63.55205325,1.4385,0.0,0.0,0.0,0.0,1.4385,1.6456
448.21,67.11261375,1.4385,0.0,0.0,0.0,0.0,1.4385,1.6896
448.21,70.899129,1.4385,0.0,0.0,0.0,0.0,1.4385,1.7349
448.21,74.927811,1.4385,0.0,0.0,0.0,0.0,1.4385,1.7816
448.21,79.21284525,1.4385,0.0,0.0,0.0,0.0,1.4385,1.8299
448.21,83.7734835,1.4385,0.0,0.0,0.0,0.0,1.4385,1.8798
448.21,88.62695099999999,1.4385,0.0,0.0,0.0,0.0,1.4385,1.9315
448.21,93.79148624999999,1.4385,0.0,0.0,0.0,0.0,1.4385,1.9851
448.21,99.28735424999999,1.4385,0.0,0.0,0.0,0.0,1.4385,2.0409
448.21,105.13481999999999,1.4385,0.0,0.0,0.0,0.0,1.4385,2.099
448.21,111.356175,1.4385,0.0,0.0,0.0,0.0,1.4385,2.1595
448.21,117.9726975,1.4385,0.0,0.0,0.0,0.0,1.4385,2.2227
448.21,124.99452,1.4385,0.0,0.0,0.0,0.0,1.4385,2.2888
448.21,132.472305,1.4385,0.0,0.0,0.0,0.0,1.4385,2.358
448.21,140.40605250000002,1.4385,0.0,0.0,0.0,0.0,1.4385,2.4307
448.21,148.8362925,1.4385,0.0,0.0,0.0,0.0,1.4385,2.507
325.16,0.0,2.7725,0.0,0.0,0.0,0.0,2.7725,0.0
325.16,0.012248166,2.7725,0.0,0.0,0.0,0.0,2.7725,0.0
325.16,1.0119530399999999,2.7725,0.0,0.0,0.0,0.0,2.7725,0.11383
325.16,1.9629692250000002,2.7725,0.0,0.0,0.0,0.0,2.7725,0.21207
325.16,2.8596954749999997,2.7725,0.0,0.0,0.0,0.0,2.7725,0.29609
325.16,3.6984638249999997,2.7725,0.0,0.0,0.0,0.0,2.7725,0.36728
325.16,4.477045125,2.7725,0.0,0.0,0.0,0.0,2.7725,0.4271
325.16,5.194628775,2.7725,0.0,0.0,0.0,0.0,2.7725,0.47703
325.16,5.851822725,2.7725,0.0,0.0,0.0,0.0,2.7725,0.51846
325.16,6.45055215,2.7725,0.0,0.0,0.0,0.0,2.7725,0.55268
325.16,6.993552825,2.7725,0.0,0.0,0.0,0.0,2.7725,0.58087
325.16,7.48447245,2.7725,0.0,0.0,0.0,0.0,2.7725,0.60406
325.16,7.9275666750000005,2.7725,0.0,0.0,0.0,0.0,2.7725,0.62313
325.16,8.32749645,2.7725,0.0,0.0,0.0,0.0,2.7725,0.63886
325.16,8.6892267,2.7725,0.0,0.0,0.0,0.0,2.7725,0.65187
325.16,9.01812765,2.7725,0.0,0.0,0.0,0.0,2.7725,0.66272
325.16,9.3194682,2.7725,0.0,0.0,0.0,0.0,2.7725,0.67186
325.16,9.598719899999999,2.7725,0.0,0.0,0.0,0.0,2.7725,0.67966
325.16,9.861455625,2.7725,0.0,0.0,0.0,0.0,2.7725,0.68643
325.16,10.1134509,2.7725,0.0,0.0,0.0,0.0,2.7725,0.69244
325.16,10.36048125,2.7725,0.0,0.0,0.0,0.0,2.7725,0.69789
325.16,10.607714249999999,2.7725,0.0,0.0,0.0,0.0,2.7725,0.70296
325.16,10.86204,2.7725,0.0,0.0,0.0,0.0,2.7725,0.70781
